Date,Open,High,Low,Close
09/30/2020,"0.07800%","0.07800%","0.07800%","0.07800%"
09/29/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
09/28/2020,"0.08163%","0.08163%","0.08163%","0.08163%"
09/25/2020,"0.08013%","0.08013%","0.08013%","0.08013%"
09/24/2020,"0.08075%","0.08075%","0.08075%","0.08075%"
09/23/2020,"0.08038%","0.08038%","0.08038%","0.08038%"
09/22/2020,"0.08263%","0.08263%","0.08263%","0.08263%"
09/21/2020,"0.08250%","0.08250%","0.08250%","0.08250%"
09/18/2020,"0.08313%","0.08313%","0.08313%","0.08313%"
09/17/2020,"0.08225%","0.08225%","0.08225%","0.08225%"
09/16/2020,"0.08250%","0.08250%","0.08250%","0.08250%"
09/15/2020,"0.08325%","0.08325%","0.08325%","0.08325%"
09/14/2020,"0.08388%","0.08388%","0.08388%","0.08388%"
09/11/2020,"0.08300%","0.08300%","0.08300%","0.08300%"
09/10/2020,"0.08413%","0.08413%","0.08413%","0.08413%"
09/09/2020,"0.08213%","0.08213%","0.08213%","0.08213%"
09/08/2020,"0.07938%","0.07938%","0.07938%","0.07938%"
09/04/2020,"0.08163%","0.08163%","0.08163%","0.08163%"
09/03/2020,"0.08238%","0.08238%","0.08238%","0.08238%"
09/02/2020,"0.08250%","0.08250%","0.08250%","0.08250%"
09/01/2020,"0.08125%","0.08125%","0.08125%","0.08125%"
08/28/2020,"0.08088%","0.08088%","0.08088%","0.08088%"
08/27/2020,"0.08200%","0.08200%","0.08200%","0.08200%"
08/26/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
08/25/2020,"0.08138%","0.08138%","0.08138%","0.08138%"
08/24/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
08/21/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
08/20/2020,"0.08300%","0.08300%","0.08300%","0.08300%"
08/19/2020,"0.08463%","0.08463%","0.08463%","0.08463%"
08/18/2020,"0.08363%","0.08363%","0.08363%","0.08363%"
08/17/2020,"0.08475%","0.08475%","0.08475%","0.08475%"
08/14/2020,"0.08550%","0.08550%","0.08550%","0.08550%"
08/13/2020,"0.08488%","0.08488%","0.08488%","0.08488%"
08/12/2020,"0.08538%","0.08538%","0.08538%","0.08538%"
08/11/2020,"0.08525%","0.08525%","0.08525%","0.08525%"
08/10/2020,"0.08600%","0.08600%","0.08600%","0.08600%"
08/07/2020,"0.08513%","0.08513%","0.08513%","0.08513%"
08/06/2020,"0.08575%","0.08575%","0.08575%","0.08575%"
08/05/2020,"0.08338%","0.08338%","0.08338%","0.08338%"
08/04/2020,"0.08900%","0.08900%","0.08900%","0.08900%"
08/03/2020,"0.08425%","0.08425%","0.08425%","0.08425%"
07/31/2020,"0.08725%","0.08725%","0.08725%","0.08725%"
07/30/2020,"0.08500%","0.08500%","0.08500%","0.08500%"
07/29/2020,"0.08413%","0.08413%","0.08413%","0.08413%"
07/28/2020,"0.08475%","0.08475%","0.08475%","0.08475%"
07/27/2020,"0.08513%","0.08513%","0.08513%","0.08513%"
07/24/2020,"0.08488%","0.08488%","0.08488%","0.08488%"
07/23/2020,"0.08563%","0.08563%","0.08563%","0.08563%"
07/22/2020,"0.08588%","0.08588%","0.08588%","0.08588%"
07/21/2020,"0.08525%","0.08525%","0.08525%","0.08525%"
07/20/2020,"0.08550%","0.08550%","0.08550%","0.08550%"
07/17/2020,"0.08563%","0.08563%","0.08563%","0.08563%"
07/16/2020,"0.08675%","0.08675%","0.08675%","0.08675%"
07/15/2020,"0.08425%","0.08425%","0.08425%","0.08425%"
07/14/2020,"0.07750%","0.07750%","0.07750%","0.07750%"
07/13/2020,"0.08200%","0.08200%","0.08200%","0.08200%"
07/10/2020,"0.08138%","0.08138%","0.08138%","0.08138%"
07/09/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
07/08/2020,"0.08288%","0.08288%","0.08288%","0.08288%"
07/07/2020,"0.08300%","0.08300%","0.08300%","0.08300%"
07/06/2020,"0.08288%","0.08288%","0.08288%","0.08288%"
07/03/2020,"0.08288%","0.08288%","0.08288%","0.08288%"
07/02/2020,"0.08288%","0.08288%","0.08288%","0.08288%"
07/01/2020,"0.07663%","0.07663%","0.07663%","0.07663%"
06/30/2020,"0.08088%","0.08088%","0.08088%","0.08088%"
06/29/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
06/26/2020,"0.07113%","0.07113%","0.07113%","0.07113%"
06/25/2020,"0.07563%","0.07563%","0.07563%","0.07563%"
06/24/2020,"0.07425%","0.07425%","0.07425%","0.07425%"
06/23/2020,"0.07113%","0.07113%","0.07113%","0.07113%"
06/22/2020,"0.06988%","0.06988%","0.06988%","0.06988%"
06/19/2020,"0.07525%","0.07525%","0.07525%","0.07525%"
06/18/2020,"0.07638%","0.07638%","0.07638%","0.07638%"
06/17/2020,"0.07550%","0.07550%","0.07550%","0.07550%"
06/16/2020,"0.07163%","0.07163%","0.07163%","0.07163%"
06/15/2020,"0.06975%","0.06975%","0.06975%","0.06975%"
06/12/2020,"0.06613%","0.06613%","0.06613%","0.06613%"
06/11/2020,"0.06550%","0.06550%","0.06550%","0.06550%"
06/10/2020,"0.06325%","0.06325%","0.06325%","0.06325%"
06/09/2020,"0.06300%","0.06300%","0.06300%","0.06300%"
06/08/2020,"0.06075%","0.06075%","0.06075%","0.06075%"
06/05/2020,"0.06250%","0.06250%","0.06250%","0.06250%"
06/04/2020,"0.05975%","0.05975%","0.05975%","0.05975%"
06/03/2020,"0.06188%","0.06188%","0.06188%","0.06188%"
06/02/2020,"0.06500%","0.06500%","0.06500%","0.06500%"
06/01/2020,"0.06200%","0.06200%","0.06200%","0.06200%"
05/29/2020,"0.06150%","0.06150%","0.06150%","0.06150%"
05/28/2020,"0.06300%","0.06300%","0.06300%","0.06300%"
05/27/2020,"0.06163%","0.06163%","0.06163%","0.06163%"
05/26/2020,"0.06025%","0.06025%","0.06025%","0.06025%"
05/22/2020,"0.06075%","0.06075%","0.06075%","0.06075%"
05/21/2020,"0.06113%","0.06113%","0.06113%","0.06113%"
05/20/2020,"0.06238%","0.06238%","0.06238%","0.06238%"
