Date,Close
04/22/2021,4014.80
04/21/2021,3976.41
04/20/2021,3940.46
04/19/2021,4019.91
04/16/2021,4032.99
04/15/2021,3993.43
04/14/2021,3976.28
04/13/2021,3966.99
4/12/21,3961.90
4/9/21,3978.84
4/8/21,3977.83
4/7/21,3956.77
4/6/21,3970.42
4/1/21,3945.96
03/31/2021,3919.21
03/30/2021,3926.20
03/29/2021,3882.87
03/26/2021,3866.68
03/25/2021,3832.57
03/24/2021,3832.55
03/23/2021,3827.02
03/22/2021,3833.84
03/19/2021,3837.02
03/18/2021,3867.54
03/17/2021,3849.74
03/16/2021,3850.96
03/15/2021,3829.84
3/12/21,3833.36
3/11/21,3845.64
3/10/21,3819.92
3/9/21,3786.05
3/8/21,3763.24
3/5/21,3669.54
3/4/21,3704.85
3/3/21,3712.78
3/2/21,3707.72
3/1/21,3706.62
02/26/2021,3636.44
02/25/2021,3685.28
02/24/2021,3705.99
02/23/2021,3689.10
02/22/2021,3699.85
02/19/2021,3713.46
02/18/2021,3681.04
02/17/2021,3699.85
02/16/2021,3726.40
02/15/2021,3734.20
2/12/21,3695.61
2/11/21,3671.68
2/10/21,3648.37
2/9/21,3661.13
2/8/21,3665.51
2/5/21,3655.77
2/4/21,3642.12
2/3/21,3609.75
2/2/21,3590.46
2/1/21,3530.85
01/29/2021,3481.44
01/28/2021,3557.04
01/27/2021,3536.38
01/26/2021,3592.83
01/25/2021,3553.14
01/22/2021,3602.41
01/21/2021,3618.35
01/20/2021,3624.04
01/19/2021,3595.42
01/18/2021,3602.67
01/15/2021,3599.55
01/14/2021,3641.37
01/13/2021,3616.51
1/12/21,3612.13
1/11/21,3620.62
1/8/21,3645.05
1/7/21,3622.42
1/6/21,3611.08
1/5/21,3547.85
1/4/21,3564.39
12/31/2020,3552.64
12/30/2020,3571.59
12/29/2020,3581.37
12/28/2020,3575.41
12/24/2020,3543.28
12/23/2020,3539.26
12/22/2020,3497.49
12/21/2020,3448.68
12/18/2020,3545.74
12/17/2020,3560.87
12/16/2020,3543.00
12/15/2020,3521.50
12/14/2020,3503.96
12/11/20,3485.84
12/10/20,3522.31
12/9/20,3529.02
12/8/20,3525.87
12/7/20,3530.08
12/4/20,3539.27
12/3/20,3517.10
12/2/20,3521.32
12/1/20,3525.24
11/30/2020,3492.54
11/27/2020,3527.79
11/26/2020,3510.94
11/25/2020,3511.90
11/24/2020,3507.98
11/23/2020,3463.04
11/20/2020,3467.60
11/19/2020,3451.97
11/18/2020,3482.17
11/17/2020,3468.48
11/16/2020,3466.21
11/13/2020,3432.07
11/12/20,3428.20
11/11/20,3467.30
11/10/20,3442.62
11/9/20,3407.91
11/6/20,3204.05
11/5/20,3215.56
11/4/20,3161.07
11/3/20,3098.72
11/2/20,3019.54
10/30/2020,2958.21
10/29/2020,2960.03
10/28/2020,2963.54
10/27/2020,3070.60
10/26/2020,3105.25
10/23/2020,3198.86
10/22/2020,3171.41
10/21/2020,3180.70
10/20/2020,3227.87
10/19/2020,3242.51
10/16/2020,3245.47
10/15/2020,3192.69
10/14/2020,3273.28
10/13/2020,3279.19
10/12/20,3298.12
10/9/20,3273.12
10/8/20,3255.76
10/7/20,3233.43
10/6/20,3233.30
10/5/20,3220.22
10/2/20,3190.93
10/1/20,3194.09
09/30/2020,3193.61
09/29/2020,3214.30
09/28/2020,3223.19
09/25/2020,3137.06
09/24/2020,3159.64
09/23/2020,3180.11
09/22/2020,3164.13
09/21/2020,3160.95
09/18/2020,3283.69
09/17/2020,3316.57
09/16/2020,3338.84
09/15/2020,3332.26
09/14/2020,3316.79
9/11/20,3315.81
9/10/20,3312.77
9/9/20,3324.83
9/8/20,3267.37
9/7/20,3314.07
9/4/20,3260.59
9/3/20,3304.22
9/2/20,3337.77
9/1/20,3277.58
08/31/2020,3272.51
08/28/2020,3315.54
08/27/2020,3331.04
08/26/2020,3356.76
08/25/2020,3329.71
08/24/2020,3331.74
08/21/2020,3259.75
08/20/2020,3273.98
08/19/2020,3317.62
08/18/2020,3289.64
08/17/2020,3305.85
08/14/2020,3305.05
08/13/2020,3342.85
8/12/20,3363.18
8/11/20,3332.12
8/10/20,3259.71
8/7/20,3252.65
8/6/20,3240.39
8/5/20,3268.38
8/4/20,3254.29
8/3/20,3248.28
07/31/2020,3174.32
07/30/2020,3208.20
07/29/2020,3300.16
07/28/2020,3303.56
07/27/2020,3302.84
07/24/2020,3310.89
07/23/2020,3371.74
07/22/2020,3370.76
07/21/2020,3405.35
07/20/2020,3388.34
07/17/2020,3365.60
07/16/2020,3365.35
07/15/2020,3378.21
07/14/2020,3321.39
07/13/2020,3350.00
7/10/20,3296.22
7/9/20,3261.17
7/8/20,3286.09
7/7/20,3321.56
7/6/20,3350.03
7/3/20,3294.38
7/2/20,3320.09
7/1/20,3228.45
06/30/2020,3234.07
06/29/2020,3232.02
06/26/2020,3204.17
06/25/2020,3218.91
06/24/2020,3196.12
06/23/2020,3298.83
06/22/2020,3241.69
06/19/2020,3269.10
06/18/2020,3249.90
06/17/2020,3267.26
06/16/2020,3242.65
06/15/2020,3136.40
6/12/20,3153.74
6/11/20,3144.57
6/10/20,3293.71
6/9/20,3320.71
6/8/20,3368.35
6/5/20,3384.29
6/4/20,3261.67
6/3/20,3269.59
6/2/20,3156.45
05/29/2020,3050.20
05/28/2020,3094.47
05/27/2020,3051.08
05/26/2020,2999.22
05/25/2020,2971.35
05/22/2020,2905.47
05/21/2020,2904.98
05/20/2020,2942.39
05/19/2020,2902.58
05/18/2020,2911.88
05/15/2020,2770.70
05/14/2020,2760.23
05/13/2020,2810.55
5/12/20,2884.20
5/11/20,2883.75
5/8/20,2908.11
5/7/20,2880.60
5/6/20,2843.76
5/5/20,2875.91
5/4/20,2816.48
5/1/20,2927.93
04/30/2020,2927.93
04/29/2020,2996.08
04/28/2020,2932.06
04/27/2020,2882.09
04/24/2020,2809.07
04/23/2020,2852.46
04/22/2020,2834.90
