Date,Open,High,Low,Close
10/25/2017,"1.23999%","1.23999%","1.23999%","1.23999%"
10/24/2017,"1.23955%","1.23955%","1.23955%","1.23955%"
10/23/2017,"1.23788%","1.23788%","1.23788%","1.23788%"
10/20/2017,"1.23788%","1.23788%","1.23788%","1.23788%"
10/19/2017,"1.23888%","1.23888%","1.23888%","1.23888%"
10/18/2017,"1.23888%","1.23888%","1.23888%","1.23888%"
10/17/2017,"1.23777%","1.23777%","1.23777%","1.23777%"
10/16/2017,"1.23666%","1.23666%","1.23666%","1.23666%"
10/13/2017,"1.23667%","1.23667%","1.23667%","1.23667%"
10/12/2017,"1.23889%","1.23889%","1.23889%","1.23889%"
10/11/2017,"1.23889%","1.23889%","1.23889%","1.23889%"
10/10/2017,"1.23778%","1.23778%","1.23778%","1.23778%"
10/09/2017,"1.23722%","1.23722%","1.23722%","1.23722%"
10/06/2017,"1.23500%","1.23500%","1.23500%","1.23500%"
10/05/2017,"1.23778%","1.23778%","1.23778%","1.23778%"
10/04/2017,"1.23778%","1.23778%","1.23778%","1.23778%"
10/03/2017,"1.23778%","1.23778%","1.23778%","1.23778%"
10/02/2017,"1.23333%","1.23333%","1.23333%","1.23333%"
09/29/2017,"1.23222%","1.23222%","1.23222%","1.23222%"
09/28/2017,"1.23500%","1.23500%","1.23500%","1.23500%"
09/27/2017,"1.23500%","1.23500%","1.23500%","1.23500%"
09/26/2017,"1.23444%","1.23444%","1.23444%","1.23444%"
09/25/2017,"1.23667%","1.23667%","1.23667%","1.23667%"
09/22/2017,"1.23833%","1.23833%","1.23833%","1.23833%"
09/21/2017,"1.23722%","1.23722%","1.23722%","1.23722%"
09/20/2017,"1.23556%","1.23556%","1.23556%","1.23556%"
09/19/2017,"1.23722%","1.23722%","1.23722%","1.23722%"
09/18/2017,"1.23611%","1.23611%","1.23611%","1.23611%"
09/15/2017,"1.23722%","1.23722%","1.23722%","1.23722%"
09/14/2017,"1.23444%","1.23444%","1.23444%","1.23444%"
09/13/2017,"1.23444%","1.23444%","1.23444%","1.23444%"
09/12/2017,"1.23667%","1.23667%","1.23667%","1.23667%"
09/11/2017,"1.23611%","1.23611%","1.23611%","1.23611%"
09/08/2017,"1.23611%","1.23611%","1.23611%","1.23611%"
09/07/2017,"1.23500%","1.23500%","1.23500%","1.23500%"
09/06/2017,"1.23222%","1.23222%","1.23222%","1.23222%"
09/05/2017,"1.23111%","1.23111%","1.23111%","1.23111%"
09/01/2017,"1.23056%","1.23056%","1.23056%","1.23056%"
08/31/2017,"1.23167%","1.23167%","1.23167%","1.23167%"
08/30/2017,"1.23722%","1.23722%","1.23722%","1.23722%"
08/29/2017,"1.23889%","1.23889%","1.23889%","1.23889%"
08/28/2017,"1.23556%","1.23556%","1.23556%","1.23556%"
08/25/2017,"1.23556%","1.23556%","1.23556%","1.23556%"
08/24/2017,"1.23389%","1.23389%","1.23389%","1.23389%"
08/23/2017,"1.23444%","1.23444%","1.23444%","1.23444%"
08/22/2017,"1.23611%","1.23611%","1.23611%","1.23611%"
08/21/2017,"1.23556%","1.23556%","1.23556%","1.23556%"
08/18/2017,"1.23500%","1.23500%","1.23500%","1.23500%"
08/17/2017,"1.23056%","1.23056%","1.23056%","1.23056%"
08/16/2017,"1.22833%","1.22833%","1.22833%","1.22833%"
08/15/2017,"1.22833%","1.22833%","1.22833%","1.22833%"
08/14/2017,"1.22778%","1.22778%","1.22778%","1.22778%"
08/11/2017,"1.22667%","1.22667%","1.22667%","1.22667%"
08/10/2017,"1.22889%","1.22889%","1.22889%","1.22889%"
08/09/2017,"1.22889%","1.22889%","1.22889%","1.22889%"
08/08/2017,"1.23056%","1.23056%","1.23056%","1.23056%"
08/07/2017,"1.22889%","1.22889%","1.22889%","1.22889%"
08/04/2017,"1.22889%","1.22889%","1.22889%","1.22889%"
08/03/2017,"1.23056%","1.23056%","1.23056%","1.23056%"
08/02/2017,"1.23056%","1.23056%","1.23056%","1.23056%"
08/01/2017,"1.23167%","1.23167%","1.23167%","1.23167%"
07/31/2017,"1.23167%","1.23167%","1.23167%","1.23167%"
07/28/2017,"1.23167%","1.23167%","1.23167%","1.23167%"
07/27/2017,"1.23389%","1.23389%","1.23389%","1.23389%"
07/26/2017,"1.23333%","1.23333%","1.23333%","1.23333%"
07/25/2017,"1.23278%","1.23278%","1.23278%","1.23278%"
07/24/2017,"1.23278%","1.23278%","1.23278%","1.23278%"
07/21/2017,"1.23222%","1.23222%","1.23222%","1.23222%"
07/20/2017,"1.22722%","1.22722%","1.22722%","1.22722%"
07/19/2017,"1.22889%","1.22889%","1.22889%","1.22889%"
07/18/2017,"1.22778%","1.22778%","1.22778%","1.22778%"
07/17/2017,"1.22833%","1.22833%","1.22833%","1.22833%"
07/14/2017,"1.22611%","1.22611%","1.22611%","1.22611%"
07/13/2017,"1.22556%","1.22556%","1.22556%","1.22556%"
07/12/2017,"1.22444%","1.22444%","1.22444%","1.22444%"
07/11/2017,"1.22389%","1.22389%","1.22389%","1.22389%"
07/10/2017,"1.22389%","1.22389%","1.22389%","1.22389%"
07/07/2017,"1.22633%","1.22633%","1.22633%","1.22633%"
07/06/2017,"1.22444%","1.22444%","1.22444%","1.22444%"
07/05/2017,"1.22333%","1.22333%","1.22333%","1.22333%"
07/03/2017,"1.22689%","1.22689%","1.22689%","1.22689%"
06/30/2017,"1.22389%","1.22389%","1.22389%","1.22389%"
06/29/2017,"1.22722%","1.22722%","1.22722%","1.22722%"
06/28/2017,"1.22611%","1.22611%","1.22611%","1.22611%"
06/27/2017,"1.22378%","1.22378%","1.22378%","1.22378%"
06/26/2017,"1.22211%","1.22211%","1.22211%","1.22211%"
06/23/2017,"1.22000%","1.22000%","1.22000%","1.22000%"
06/22/2017,"1.21611%","1.21611%","1.21611%","1.21611%"
06/21/2017,"1.21556%","1.21556%","1.21556%","1.21556%"
06/20/2017,"1.21556%","1.21556%","1.21556%","1.21556%"
06/19/2017,"1.21389%","1.21389%","1.21389%","1.21389%"
06/16/2017,"1.21222%","1.21222%","1.21222%","1.21222%"
06/15/2017,"1.20944%","1.20944%","1.20944%","1.20944%"
06/14/2017,"1.17167%","1.17167%","1.17167%","1.17167%"
06/13/2017,"1.15889%","1.15889%","1.15889%","1.15889%"
06/12/2017,"1.13933%","1.13933%","1.13933%","1.13933%"
06/09/2017,"1.12711%","1.12711%","1.12711%","1.12711%"
06/08/2017,"1.11711%","1.11711%","1.11711%","1.11711%"
06/07/2017,"1.09600%","1.09600%","1.09600%","1.09600%"
06/06/2017,"1.08867%","1.08867%","1.08867%","1.08867%"
06/05/2017,"1.08422%","1.08422%","1.08422%","1.08422%"
06/02/2017,"1.08617%","1.08617%","1.08617%","1.08617%"
06/01/2017,"1.07589%","1.07589%","1.07589%","1.07589%"
05/31/2017,"1.06033%","1.06033%","1.06033%","1.06033%"
05/30/2017,"1.05050%","1.05050%","1.05050%","1.05050%"
05/26/2017,"1.04467%","1.04467%","1.04467%","1.04467%"
05/25/2017,"1.04383%","1.04383%","1.04383%","1.04383%"
05/24/2017,"1.03272%","1.03272%","1.03272%","1.03272%"
05/23/2017,"1.02356%","1.02356%","1.02356%","1.02356%"
05/22/2017,"1.02939%","1.02939%","1.02939%","1.02939%"
05/19/2017,"1.01711%","1.01711%","1.01711%","1.01711%"
05/18/2017,"1.00994%","1.00994%","1.00994%","1.00994%"
05/17/2017,"1.00356%","1.00356%","1.00356%","1.00356%"
05/16/2017,"0.99911%","0.99911%","0.99911%","0.99911%"
05/15/2017,"1.00078%","1.00078%","1.00078%","1.00078%"
05/12/2017,"0.99244%","0.99244%","0.99244%","0.99244%"
05/11/2017,"0.98911%","0.98911%","0.98911%","0.98911%"
05/10/2017,"0.98856%","0.98856%","0.98856%","0.98856%"
05/09/2017,"0.98856%","0.98856%","0.98856%","0.98856%"
05/08/2017,"0.99411%","0.99411%","0.99411%","0.99411%"
05/05/2017,"0.99444%","0.99444%","0.99444%","0.99444%"
05/04/2017,"0.99278%","0.99278%","0.99278%","0.99278%"
05/03/2017,"0.99167%","0.99167%","0.99167%","0.99167%"
05/02/2017,"0.99278%","0.99278%","0.99278%","0.99278%"
05/01/2017,"0.99500%","0.99500%","0.99500%","0.99500%"
04/28/2017,"0.99500%","0.99500%","0.99500%","0.99500%"
04/27/2017,"0.99500%","0.99500%","0.99500%","0.99500%"
04/26/2017,"0.99278%","0.99278%","0.99278%","0.99278%"
04/25/2017,"0.99222%","0.99222%","0.99222%","0.99222%"
04/24/2017,"0.99111%","0.99111%","0.99111%","0.99111%"
04/21/2017,"0.99056%","0.99056%","0.99056%","0.99056%"
04/20/2017,"0.98833%","0.98833%","0.98833%","0.98833%"
04/19/2017,"0.99111%","0.99111%","0.99111%","0.99111%"
04/18/2017,"0.99278%","0.99278%","0.99278%","0.99278%"
04/17/2017,"0.99444%","0.99444%","0.99444%","0.99444%"
04/13/2017,"0.99444%","0.99444%","0.99444%","0.99444%"
04/12/2017,"0.99389%","0.99389%","0.99389%","0.99389%"
04/11/2017,"0.99000%","0.99000%","0.99000%","0.99000%"
04/10/2017,"0.98833%","0.98833%","0.98833%","0.98833%"
04/07/2017,"0.99000%","0.99000%","0.99000%","0.99000%"
04/06/2017,"0.98944%","0.98944%","0.98944%","0.98944%"
04/05/2017,"0.98556%","0.98556%","0.98556%","0.98556%"
04/04/2017,"0.98611%","0.98611%","0.98611%","0.98611%"
04/03/2017,"0.98333%","0.98333%","0.98333%","0.98333%"
03/31/2017,"0.98278%","0.98278%","0.98278%","0.98278%"
03/30/2017,"0.98278%","0.98278%","0.98278%","0.98278%"
03/29/2017,"0.98222%","0.98222%","0.98222%","0.98222%"
03/28/2017,"0.98222%","0.98222%","0.98222%","0.98222%"
03/27/2017,"0.98222%","0.98222%","0.98222%","0.98222%"
03/24/2017,"0.98278%","0.98278%","0.98278%","0.98278%"
03/23/2017,"0.98167%","0.98167%","0.98167%","0.98167%"
